Slice Number,Slice Depth (nm),Slice Dose (MGy)
1,0.0000,0.00000000e+00
2,5.0000,0.00000000e+00
3,10.0000,0.00000000e+00
4,15.0000,0.00000000e+00
5,20.0000,0.00000000e+00
6,25.0000,0.00000000e+00
7,30.0000,0.00000000e+00
8,35.0000,0.00000000e+00
9,40.0000,0.00000000e+00
10,45.0000,0.00000000e+00
11,50.0000,0.00000000e+00
12,55.0000,0.00000000e+00
13,60.0000,0.00000000e+00
14,65.0000,0.00000000e+00
15,70.0000,0.00000000e+00
16,75.0000,0.00000000e+00
17,80.0000,0.00000000e+00
18,85.0000,0.00000000e+00
19,90.0000,0.00000000e+00
20,95.0000,0.00000000e+00
21,100.0000,0.00000000e+00
22,105.0000,0.00000000e+00
23,110.0000,0.00000000e+00
24,115.0000,0.00000000e+00
25,120.0000,0.00000000e+00
26,125.0000,0.00000000e+00
27,130.0000,0.00000000e+00
28,135.0000,0.00000000e+00
29,140.0000,0.00000000e+00
30,145.0000,0.00000000e+00
31,150.0000,0.00000000e+00
32,155.0000,0.00000000e+00
33,160.0000,0.00000000e+00
34,165.0000,0.00000000e+00
35,170.0000,0.00000000e+00
36,175.0000,0.00000000e+00
37,180.0000,0.00000000e+00
38,185.0000,0.00000000e+00
39,190.0000,0.00000000e+00
40,195.0000,0.00000000e+00
41,200.0000,0.00000000e+00
42,205.0000,0.00000000e+00
43,210.0000,0.00000000e+00
44,215.0000,0.00000000e+00
45,220.0000,0.00000000e+00
46,225.0000,0.00000000e+00
47,230.0000,0.00000000e+00
48,235.0000,0.00000000e+00
49,240.0000,0.00000000e+00
50,245.0000,0.00000000e+00
51,250.0000,0.00000000e+00
52,255.0000,0.00000000e+00
53,260.0000,0.00000000e+00
54,265.0000,0.00000000e+00
55,270.0000,0.00000000e+00
56,275.0000,0.00000000e+00
57,280.0000,0.00000000e+00
58,285.0000,0.00000000e+00
59,290.0000,0.00000000e+00
60,295.0000,0.00000000e+00
61,300.0000,0.00000000e+00
62,305.0000,0.00000000e+00
63,310.0000,0.00000000e+00
64,315.0000,0.00000000e+00
65,320.0000,0.00000000e+00
66,325.0000,0.00000000e+00
67,330.0000,0.00000000e+00
68,335.0000,0.00000000e+00
69,340.0000,0.00000000e+00
70,345.0000,0.00000000e+00
71,350.0000,0.00000000e+00
72,355.0000,0.00000000e+00
73,360.0000,0.00000000e+00
74,365.0000,0.00000000e+00
75,370.0000,0.00000000e+00
76,375.0000,0.00000000e+00
77,380.0000,0.00000000e+00
78,385.0000,0.00000000e+00
79,390.0000,0.00000000e+00
80,395.0000,0.00000000e+00
81,400.0000,0.00000000e+00
82,405.0000,0.00000000e+00
83,410.0000,0.00000000e+00
84,415.0000,0.00000000e+00
85,420.0000,0.00000000e+00
86,425.0000,0.00000000e+00
87,430.0000,0.00000000e+00
88,435.0000,0.00000000e+00
89,440.0000,0.00000000e+00
90,445.0000,0.00000000e+00
91,450.0000,0.00000000e+00
92,455.0000,0.00000000e+00
93,460.0000,0.00000000e+00
94,465.0000,0.00000000e+00
95,470.0000,0.00000000e+00
96,475.0000,0.00000000e+00
97,480.0000,0.00000000e+00
98,485.0000,0.00000000e+00
99,490.0000,0.00000000e+00
100,495.0000,0.00000000e+00
101,500.0000,0.00000000e+00
102,505.0000,0.00000000e+00
103,510.0000,0.00000000e+00
104,515.0000,0.00000000e+00
105,520.0000,0.00000000e+00
106,525.0000,0.00000000e+00
107,530.0000,0.00000000e+00
108,535.0000,0.00000000e+00
109,540.0000,0.00000000e+00
110,545.0000,0.00000000e+00
111,550.0000,0.00000000e+00
112,555.0000,0.00000000e+00
113,560.0000,0.00000000e+00
114,565.0000,0.00000000e+00
115,570.0000,0.00000000e+00
116,575.0000,0.00000000e+00
117,580.0000,0.00000000e+00
118,585.0000,0.00000000e+00
119,590.0000,0.00000000e+00
120,595.0000,0.00000000e+00
121,600.0000,0.00000000e+00
122,605.0000,0.00000000e+00
123,610.0000,0.00000000e+00
124,615.0000,0.00000000e+00
125,620.0000,0.00000000e+00
126,625.0000,0.00000000e+00
127,630.0000,0.00000000e+00
128,635.0000,0.00000000e+00
129,640.0000,0.00000000e+00
130,645.0000,0.00000000e+00
131,650.0000,0.00000000e+00
132,655.0000,0.00000000e+00
133,660.0000,0.00000000e+00
134,665.0000,0.00000000e+00
135,670.0000,0.00000000e+00
136,675.0000,0.00000000e+00
137,680.0000,0.00000000e+00
138,685.0000,0.00000000e+00
139,690.0000,0.00000000e+00
140,695.0000,0.00000000e+00
141,700.0000,0.00000000e+00
142,705.0000,0.00000000e+00
143,710.0000,0.00000000e+00
144,715.0000,0.00000000e+00
145,720.0000,0.00000000e+00
146,725.0000,0.00000000e+00
147,730.0000,0.00000000e+00
148,735.0000,0.00000000e+00
149,740.0000,0.00000000e+00
150,745.0000,0.00000000e+00
151,750.0000,0.00000000e+00
152,755.0000,0.00000000e+00
153,760.0000,0.00000000e+00
154,765.0000,0.00000000e+00
155,770.0000,0.00000000e+00
156,775.0000,0.00000000e+00
157,780.0000,0.00000000e+00
158,785.0000,0.00000000e+00
159,790.0000,0.00000000e+00
160,795.0000,0.00000000e+00
161,800.0000,0.00000000e+00
162,805.0000,0.00000000e+00
163,810.0000,0.00000000e+00
164,815.0000,0.00000000e+00
165,820.0000,0.00000000e+00
166,825.0000,0.00000000e+00
167,830.0000,0.00000000e+00
168,835.0000,0.00000000e+00
169,840.0000,0.00000000e+00
170,845.0000,0.00000000e+00
171,850.0000,0.00000000e+00
172,855.0000,0.00000000e+00
173,860.0000,0.00000000e+00
174,865.0000,0.00000000e+00
175,870.0000,0.00000000e+00
176,875.0000,0.00000000e+00
177,880.0000,0.00000000e+00
178,885.0000,0.00000000e+00
179,890.0000,0.00000000e+00
180,895.0000,0.00000000e+00
181,900.0000,0.00000000e+00
182,905.0000,0.00000000e+00
183,910.0000,0.00000000e+00
